"lat (deg)","lng (deg)","alt (m)","az (deg)","el (deg)","range (m)","ha (deg)","dec (deg)","utime","isotime","grndLat (deg)","grndLng (deg)","grndAlt (m)","aprsLat (deg)","aprsLng (deg)","aprsAlt (m)","predLat (deg)","predLng (deg)","predAlt (m)","command","source"
"-404","-404","-404","152.39052346759001","-46.66937872593594","9237621.689101515","-7.4735867040626465","-69.92530566600419","-404","2019-02-25 16:45:42.195855","-404","-404","-404","42.28833","-83.71467","671.0","-404","-404","-404","#12;","pred"
"-404","-404","-404","152.39052346759001","-46.66937872593594","9237621.689101515","-7.4735867040626465","-69.92530566600419","-404","2019-02-25 16:45:52.231822","-404","-404","-404","42.28833","-83.71467","671.0","-404","-404","-404","#12;","pred"
"-404","-404","-404","152.39052346759001","-46.66937872593594","9237621.689101515","-7.4735867040626465","-69.92530566600419","-404","2019-02-25 16:46:02.302291","-404","-404","-404","42.28833","-83.71467","671.0","-404","-404","-404","#12;","pred"
"42.28833","-83.71467","671.0","152.39052346759001","-46.66937872593594","9237621.689101515","-7.4735867040626465","-69.92530566600419","1550774250.0","2019-02-25 16:46:14.161982","-404","-404","-404","42.28833","-83.71467","671.0","-404","-404","-404","#12;","aprs"
"-404","-404","-404","152.39052346759001","-46.66937872593594","9237621.689101515","-7.4735867040626465","-69.92530566600419","-404","2019-02-25 16:46:24.212188","-404","-404","-404","42.28833","-83.71467","671.0","-404","-404","-404","#12;","pred"
"-404","-404","-404","152.39052346759001","-46.66937872593594","9237621.689101515","-7.4735867040626465","-69.92530566600419","-404","2019-02-25 16:46:34.261617","-404","-404","-404","42.28833","-83.71467","671.0","-404","-404","-404","#12;","pred"
"42.28833","-83.71467","671.0","23.851559837736282","-40.0858599689816","8228918.664959138","-10.794096995063354","4.85064307040788","1550774250.0","2019-02-25 16:46:45.183372","-404","-404","-404","42.28833","-83.71467","671.0","488.57666","236.57066","1746.0","#12;","aprs"
"-850.28833","-724.28533","-1479.0","233.07856949544774","-63.48856939722826","11381619.507513802","9.564568911530554","-53.1660029704935","-404","2019-02-25 16:46:55.282367","-404","-404","-404","42.28833","-83.71467","671.0","-850.28833","-724.28533","-1479.0","#12;","pred"
"-404","-404","-404","152.39052346759001","-46.66937872593594","9237621.689101515","-7.4735867040626465","-69.92530566600419","-404","2019-02-25 16:47:05.332452","-404","-404","-404","42.28833","-83.71467","671.0","-404","-404","-404","#12;","pred"
"42.28833","-83.71467","671.0","23.851559837736282","-40.0858599689816","8228918.664959138","-10.794096995063354","4.85064307040788","1550774250.0","2019-02-25 16:47:16.122925","-404","-404","-404","42.28833","-83.71467","671.0","488.57666","236.57066","1746.0","#12;","aprs"
"-1742.86499","-1364.85599","-3629.0","11.496562325130931","-39.55078156580197","8128310.500885172","-11.405511134868243","7.510525913658549","-404","2019-02-25 16:47:26.172793","-404","-404","-404","42.28833","-83.71467","671.0","-1742.86499","-1364.85599","-3629.0","#12;","pred"
"42.28832999999997","-83.71466999999996","671.0","58.23675421337122","8.765988769329198","2490.3374105330563","-7.05099374940569","29.17408493238724","-404","2019-02-25 16:47:36.222795","-404","-404","-404","42.28833","-83.71467","671.0","42.28832999999997","-83.71466999999996","671.0","#12;","pred"
"42.28833","-83.71467","671.0","23.851559837736282","-40.0858599689816","8228918.664959138","-10.794096995063354","4.85064307040788","1550774250.0","2019-02-25 16:47:47.112996","-404","-404","-404","42.28833","-83.71467","671.0","488.57666","236.57066","1746.0","#12;","aprs"
"-3528.01831","-2645.99731","-7929.0","339.22233996063017","-18.12309538465942","3942165.2494014404","10.522853189330695","26.6290409351988","-404","2019-02-25 16:47:57.153415","-404","-404","-404","42.28833","-83.71467","671.0","-3528.01831","-2645.99731","-7929.0","#12;","pred"
"1827.44165","1197.42665","4971.0","340.3765144463134","-53.75203530900089","10308200.046426073","11.229756164395617","-7.494804463974911","-404","2019-02-25 16:48:07.213245","-404","-404","-404","42.28833","-83.71467","671.0","1827.44165","1197.42665","4971.0","#12;","pred"
"42.28833","-83.71467","671.0","58.23675421315395","8.765988769333589","2490.337410530327","-7.050993749416818","29.174084932545004","1550774250.0","2019-02-25 16:48:18.013589","-404","-404","-404","42.28833","-83.71467","671.0","42.28833000000003","-83.71467000000004","671.0","#12;","aprs"
"-7098.32495","-5208.27995","-16529.0","15.306506849702886","-25.119334396616377","5378889.674771572","-11.010127981003924","21.136778977001565","-404","2019-02-25 16:48:28.063600","-404","-404","-404","42.28833","-83.71467","671.0","-7098.32495","-5208.27995","-16529.0","#12;","pred"
"7182.90161","5040.85061","17871.0","106.02926022471557","-48.6574813137536","9589014.01187064","-8.285500461705318","-39.792727466244806","-404","2019-02-25 16:48:38.113711","-404","-404","-404","42.28833","-83.71467","671.0","7182.90161","5040.85061","17871.0","#12;","pred"
"42.28833","-83.71467","671.0","11.496562325130931","-39.55078156580197","8128310.500885172","-11.405511134868243","7.510525913658549","1550774250.0","2019-02-25 16:48:48.947486","-404","-404","-404","42.28833","-83.71467","671.0","-1742.86499","-1364.85599","-3629.0","#12;","aprs"
"-14238.93823","-10332.84523","-33729.0","154.9753774366968","-13.233203081438157","2755449.7243188056","-2.9441347530947994","-53.76876552958672","-404","2019-02-25 16:48:58.993946","-404","-404","-404","42.28833","-83.71467","671.0","-14238.93823","-10332.84523","-33729.0","#12;","pred"
"21464.12817","15289.981170000001","52271.0","133.05718444254302","-54.15321848280789","10371081.457880538","-8.513769627656384","-57.258406496157036","-404","2019-02-25 16:49:09.048435","-404","-404","-404","42.28833","-83.71467","671.0","21464.12817","15289.981170000001","52271.0","#12;","pred"
"42.28833","-83.71467","671.0","15.306506849702886","-25.119334396616377","5378889.674771572","-11.010127981003924","21.136778977001565","1550774250.0","2019-02-25 16:49:19.892444","-404","-404","-404","42.28833","-83.71467","671.0","-7098.32495","-5208.27995","-16529.0","#12;","aprs"
"-28520.16479","-20581.97579","-68129.0","175.6229144017347","-61.78832499813816","11113732.002084667","-11.590112907959451","-70.31408732059009","-404","2019-02-25 16:49:29.933772","-404","-404","-404","42.28833","-83.71467","671.0","-28520.16479","-20581.97579","-68129.0","#12;","pred"
"57167.19457","40912.807570000004","138271.0","193.5545791389839","-59.18027208946843","11066508.645313786","10.5473097947483","-71.12680162683729","-404","2019-02-25 16:49:39.984030","-404","-404","-404","42.28833","-83.71467","671.0","57167.19457","40912.807570000004","138271.0","#12;","pred"
"42.28833","-83.71467","1582.0","229.79015999007964","-53.243709504390495","10125371.97351517","8.404845495839693","-55.569708997688416","1550774250.0","2019-02-25 16:49:50.658790","-404","-404","-404","42.28833","-83.71467","1582.0","-21379.55151","-15457.410510000002","-50929.0","#12;","aprs"
"-57082.61791","-41080.23691","-136929.0","319.20986865598024","-52.29702881925993","9931590.497201122","10.399248765950336","-10.932401963760759","-404","2019-02-25 16:50:00.693991","-404","-404","-404","42.28833","-83.71467","1582.0","-57082.61791","-41080.23691","-136929.0","#12;","pred"
"142854.55393","102407.59093","344671.0","214.348109095152","-67.09312915648752","12083263.604864104","10.315793049151933","-59.03007222742135","-404","2019-02-25 16:50:10.744070","-404","-404","-404","42.28833","-83.71467","1582.0","142854.55393","102407.59093","344671.0","#12;","pred"
"42.28833","-83.71467","1582.0","319.20985224579243","-52.29047121812377","9933014.378079055","10.399028975127477","-10.926699010913987","1550774250.0","2019-02-25 16:50:21.594552","-404","-404","-404","42.28833","-83.71467","1582.0","-57082.61791","-41080.23691000001","-135107.0","#12;","aprs"
"-114207.52415","-82076.75915","-275440.0","176.62778919853102","-66.73399183754796","11370185.01030839","-11.786096794612735","-65.4727380334245","-404","2019-02-25 16:50:31.634695","-404","-404","-404","42.28833","-83.71467","1582.0","-114207.52415","-82076.75915","-275440.0","#12;","pred"
"342791.72577","245895.41877000002","826271.0","22.841395816597746","-19.57473943744843","6114173.203072655","-10.418022979660703","24.651125614984146","-404","2019-02-25 16:50:41.694816","-404","-404","-404","42.28833","-83.71467","1582.0","342791.72577","245895.41877000002","826271.0","#12;","pred"
"42.28833","-83.71467","1582.0","282.61380961918053","-31.473542289865392","5955607.139123605","8.105231216261696","-12.322718943673404","1550774250.0","2019-02-25 16:50:52.618124","-404","-404","-404","42.28833","-83.71467","1582.0","-142769.97727","-102575.02027000001","-341507.0","#12;","aprs"
"-228457.33663","-164069.80363","-552462.0","225.42124258810216","-40.79045960170567","908515.9871291486","6.876034532181886","-56.37361395081654","-404","2019-02-25 16:51:02.654808","-404","-404","-404","42.28833","-83.71467","1582.0","-228457.33663","-164069.80363","-552462.0","#12;","pred"
"799790.97569","573867.59669","1927982.0","219.0325255380465","-50.154786887603336","12091898.582820857","8.002231086112323","-62.22007209944623","-404","2019-02-25 16:51:12.704702","-404","-404","-404","42.28833","-83.71467","1582.0","799790.97569","573867.59669","1927982.0","#12;","pred"
"42.28833","-83.71467","1582.0","285.7199241323789","-48.033417384699106","8309358.896892729","9.082253142515627","-21.47733364677405","1550774250.0","2019-02-25 16:51:23.324783","-404","-404","-404","42.28833","-83.71467","1582.0","-342707.14911","-246062.84811000002","-823107.0","#12;","aprs"
"-456956.96159","-328055.89259","-1106506.0","164.82694944373546","-80.27106431334373","11412693.435483852","-11.727769579007639","-51.60173325210555","-404","2019-02-25 16:51:33.364752","-404","-404","-404","42.28833","-83.71467","1582.0","-456956.96159","-328055.89259","-1106506.0","#12;","pred"
"1828039.28801","1311804.99701","4408426.0","145.04267008248488","-33.45541027959102","12867597.362671964","-5.585407227918896","-61.25814569175661","-404","2019-02-25 16:51:43.424941","-404","-404","-404","42.28833","-83.71467","1582.0","1828039.28801","1311804.99701","4408426.0","#12;","pred"
"42.28833","-83.71467","1582.0","127.90028780254391","-57.98393797287903","8273862.802943422","-8.953546997597293","-54.22865094161822","1550774250.0","2019-02-25 16:51:54.274924","-404","-404","-404","42.28833","-83.71467","1582.0","-799706.39903","-574035.0260300001","-1924818.0","#12;","aprs"
"-913956.21151","-656028.07051","-2214594.0","356.1752423155577","-49.66491488876363","4320695.367617626","11.834930375994455","-2.0027359267804306","-404","2019-02-25 16:52:04.325326","-404","-404","-404","42.28833","-83.71467","1582.0","-913956.21151","-656028.07051","-2214594.0","#12;","pred"
"4113035.53761","2951665.88661","9923358.0","51.29731492101994","-11.665155381019703","16355122.891221208","-8.420408657471459","18.486129458873503","-404","2019-02-25 16:52:14.374608","-404","-404","-404","42.28833","-83.71467","1582.0","4113035.53761","2951665.88661","9923358.0","#12;","pred"
"42.28833","-83.71467","1582.0","26.82102150090222","-71.94388381398555","6165489.2900371915","-11.404354711529436","-25.780312273723997","1550774250.0","2019-02-25 16:52:25.185363","-404","-404","-404","42.28833","-83.71467","1582.0","-1827954.71135","-1311972.42635","-4405262.0","#12;","aprs"
"-1827954.71135","-1311972.42635","-4430770.0","26.82182372142281","-72.18073232065315","6164395.7850763155","-11.41085109786602","-26.000339740922755","-404","2019-02-25 16:52:35.255466","-404","-404","-404","42.28833","-83.71467","1582.0","-1827954.71135","-1311972.42635","-4430770.0","#12;","pred"
"9140027.28673","6559359.84373","22061310.0","278.4704951304916","-38.111788599266305","31927041.88817635","8.299244496553312","-19.234984022759026","-404","2019-02-25 16:52:45.305582","-404","-404","-404","42.28833","-83.71467","1582.0","9140027.28673","6559359.84373","22061310.0","#12;","pred"
